INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,LSTAT,MEDV
8.14,0.538,5.713,94.1,4.233,307.0,21.0,22.6,12.7
4.39,0.442,6.014,48.5,8.0136,352.0,18.8,10.53,17.5
6.2,0.504,5.981,68.1,3.6715,307.0,17.4,11.65,24.3
3.41,0.489,7.007,86.3,3.4217,270.0,17.8,5.5,23.6
3.44,0.437,6.739,30.8,6.4798,398.0,15.2,4.69,30.5
10.01,0.547,6.176,72.5,2.7301,432.0,17.8,12.04,21.2
3.78,0.484,6.874,28.1,6.4654,370.0,17.6,4.61,31.2
3.33,0.4429,6.968,37.2,5.2447,216.0,14.9,4.59,35.4
21.89,0.624,6.151,97.9,1.6687,437.0,21.2,18.46,17.8
5.86,0.431,6.226,79.2,8.0555,330.0,19.1,10.15,20.5
18.1,0.584,6.833,94.3,2.0882,666.0,20.2,19.69,14.1
7.07,0.469,6.421,78.9,4.9671,242.0,17.8,9.14,21.6
6.09,0.433,6.982,17.7,5.4917,329.0,16.1,4.86,33.1
18.1,0.583,6.114,79.8,3.5459,666.0,20.2,14.98,19.1
4.93,0.428,6.897,54.3,6.3361,300.0,16.6,11.38,22.0
18.1,0.713,5.936,80.3,2.7792,666.0,20.2,16.94,13.5
4.95,0.411,7.148,27.7,5.1167,245.0,19.2,3.56,37.3
6.2,0.504,7.163,79.9,3.2157,307.0,17.4,6.36,31.6
10.59,0.489,5.807,53.8,3.6526,277.0,18.6,16.03,22.4
4.95,0.411,6.861,27.9,5.1167,245.0,19.2,3.33,28.5
27.74,0.609,5.983,83.5,2.1099,711.0,20.1,13.35,20.1
9.69,0.585,6.019,65.3,2.4091,391.0,19.2,12.92,21.2
10.01,0.547,5.731,65.2,2.7592,432.0,17.8,13.61,19.3
18.1,0.713,6.317,83.0,2.7344,666.0,20.2,13.99,19.5
13.92,0.437,6.009,42.3,5.5027,289.0,16.0,10.4,21.7
2.95,0.428,7.024,15.8,5.4011,252.0,18.3,1.98,34.9
18.1,0.597,5.155,100.0,1.5894,666.0,20.2,20.08,16.3
4.15,0.429,6.516,27.7,8.5353,351.0,17.9,6.36,23.1
4.05,0.51,6.315,73.4,3.3175,296.0,16.6,6.29,24.6
7.87,0.524,6.172,96.1,5.9505,311.0,15.2,19.15,27.1
5.86,0.431,6.957,6.8,8.9067,330.0,19.1,3.53,29.6
7.87,0.524,6.012,66.6,5.5605,311.0,15.2,12.43,22.9
19.58,0.871,5.012,88.0,1.6102,403.0,14.7,12.12,15.3
10.59,0.489,5.404,88.6,3.665,277.0,18.6,23.98,19.3
18.1,0.614,6.98,67.6,2.5329,666.0,20.2,11.66,29.8
5.19,0.515,6.31,38.5,6.4584,224.0,20.2,6.75,20.7
3.78,0.484,6.696,56.4,5.7321,370.0,17.6,7.18,23.9
21.89,0.624,5.942,93.5,1.9669,437.0,21.2,16.9,17.4
8.14,0.538,5.57,98.1,3.7979,307.0,21.0,21.02,13.6
2.46,0.488,7.765,83.3,2.741,193.0,17.8,7.56,39.8
18.1,0.679,5.957,100.0,1.8026,666.0,20.2,20.62,8.8
18.1,0.655,5.759,48.2,3.0665,666.0,20.2,14.13,19.9
4.05,0.51,5.572,88.5,2.5961,296.0,16.6,14.69,23.1
5.13,0.453,6.145,29.2,7.8148,284.0,19.7,6.86,23.3
18.1,0.693,6.471,98.8,1.7257,666.0,20.2,17.12,13.1
7.38,0.493,6.312,28.9,5.4159,287.0,19.6,6.15,23.0
3.33,0.4429,6.812,32.2,4.1007,216.0,14.9,4.85,35.1
8.14,0.538,6.072,100.0,4.175,307.0,21.0,13.04,14.5
18.1,0.74,5.627,93.9,1.8172,666.0,20.2,22.88,12.8
7.07,0.469,7.185,61.1,4.9671,242.0,17.8,4.03,34.7
18.1,0.671,7.313,97.9,1.3163,666.0,20.2,13.44,15.0
5.86,0.431,6.487,13.0,7.3967,330.0,19.1,5.9,24.4
21.89,0.624,5.019,100.0,1.4394,437.0,21.2,34.41,14.4
3.24,0.46,6.333,17.2,5.2146,430.0,16.9,7.34,22.6
10.59,0.489,6.064,59.1,4.2392,277.0,18.6,14.66,24.4
6.07,0.409,5.594,36.8,6.498,345.0,18.9,13.09,17.4
18.1,0.614,6.229,88.0,1.9512,666.0,20.2,13.11,21.4
3.64,0.392,6.108,32.0,9.2203,315.0,16.4,6.57,21.9
8.14,0.538,6.142,91.7,3.9769,307.0,21.0,18.72,15.2
18.1,0.679,6.202,78.7,1.8629,666.0,20.2,14.52,10.9
5.96,0.499,5.841,61.4,3.3779,279.0,19.2,11.41,20.0
18.1,0.77,6.212,97.4,2.1222,666.0,20.2,17.6,17.8
13.92,0.437,6.549,51.0,5.9604,289.0,16.0,7.39,27.1
21.89,0.624,6.335,98.2,2.1107,437.0,21.2,16.96,18.1
9.69,0.585,5.794,70.6,2.8927,391.0,19.2,14.1,18.3
9.9,0.544,5.914,83.2,3.9986,304.0,18.4,18.33,17.8
11.93,0.573,6.03,80.8,2.505,273.0,21.0,7.88,11.9
19.58,0.605,6.25,92.6,1.7984,403.0,14.7,5.5,27.0
4.05,0.51,6.416,84.1,2.6463,296.0,16.6,9.04,23.6
18.1,0.58,6.167,84.0,3.0334,666.0,20.2,16.29,19.9
2.89,0.445,6.625,57.8,3.4952,276.0,18.0,6.65,28.4
18.1,0.74,6.461,93.3,2.0026,666.0,20.2,18.05,9.6
9.69,0.585,6.027,79.7,2.4982,391.0,19.2,14.33,16.8
12.83,0.437,6.232,53.7,5.0141,398.0,18.7,12.34,21.2
4.93,0.428,6.095,65.1,6.3361,300.0,16.6,12.4,20.1
8.56,0.52,6.229,91.2,2.5451,384.0,20.9,15.55,19.4
10.59,0.489,5.344,100.0,3.875,277.0,18.6,23.09,20.0
9.69,0.585,5.926,42.6,2.3817,391.0,19.2,13.59,24.5
18.1,0.679,5.896,95.4,1.9096,666.0,20.2,24.39,8.3
