iter	RMSE
0	0.3530626439
1	0.3452810323
2	0.3377890555
3	0.3306465441
4	0.3233930161
5	0.3162685343
6	0.3088425876
7	0.3024205029
8	0.2959151581
9	0.2898285045
10	0.283845639
11	0.2782550145
12	0.2728440166
13	0.2675635835
14	0.2622657407
15	0.2575547375
16	0.2526916928
17	0.2482931025
18	0.2437650399
19	0.2394517009
20	0.2354347384
21	0.2318712197
22	0.2279128524
23	0.2241691722
24	0.2205748683
25	0.2177079633
26	0.2144390276
27	0.2118850495
28	0.2089895491
29	0.2059871378
30	0.2034655649
31	0.2010705523
32	0.1982927638
33	0.1956147281
34	0.1931535003
35	0.1912048472
36	0.1887947282
37	0.1866157311
38	0.1844628685
39	0.1828124995
40	0.1806172616
41	0.1788972942
42	0.1770669787
43	0.1752699658
44	0.1732469805
45	0.1716259097
46	0.1698453674
47	0.1680895844
48	0.1663671275
49	0.165117279
50	0.1637450206
51	0.1625614096
52	0.1612679297
53	0.1601134731
54	0.1588147306
55	0.1575852679
56	0.1566042056
57	0.1554269671
58	0.1544069192
59	0.1534511242
60	0.1524588825
61	0.1515921614
62	0.1505146809
63	0.1497632982
64	0.1487373531
65	0.1481278516
66	0.1472948091
67	0.1464044295
68	0.1456717811
69	0.1451169892
70	0.1445968181
71	0.1440593345
72	0.1432917638
73	0.1425474942
74	0.1419477565
75	0.1411284227
76	0.1403854499
77	0.1399009046
78	0.1392341651
79	0.1383065461
80	0.1378899259
81	0.1374601981
82	0.1367636957
83	0.1360125806
84	0.1353167338
85	0.1347821457
86	0.1342824185
87	0.1338980178
88	0.1330380973
89	0.1327191756
90	0.1320897481
91	0.1313419211
92	0.1305170743
93	0.1300151811
94	0.1294771687
95	0.1291391181
96	0.1286251535
97	0.1282716
98	0.127971178
99	0.1276579223
100	0.1271269696
101	0.1264221595
102	0.1259717161
103	0.1257383613
104	0.1254073408
105	0.1250299977
106	0.1246803748
107	0.124339454
108	0.1240280659
109	0.1237176823
110	0.1233809778
111	0.1230862736
112	0.1226889474
113	0.12244588
114	0.121913542
115	0.1216424765
116	0.1213817616
117	0.1210746253
118	0.1208281403
119	0.1205202311
120	0.1203440733
121	0.1199882139
122	0.1196121552
123	0.1193238787
124	0.1191079528
