iter	Passed	Remaining
0	49	49459
1	52	26006
2	54	17985
3	56	14029
4	58	11655
5	60	10062
6	62	8833
7	63	7867
8	65	7159
9	66	6561
10	67	6075
11	70	5833
12	72	5516
13	73	5199
14	74	4917
15	76	4678
16	77	4474
17	78	4275
18	79	4088
19	80	3926
20	80	3774
21	81	3633
22	82	3504
23	83	3389
24	84	3283
25	85	3187
26	85	3094
27	86	3003
28	87	2915
29	87	2835
30	88	2761
31	89	2692
32	89	2626
33	90	2567
34	91	2509
35	91	2454
36	92	2414
37	93	2363
38	94	2316
39	94	2271
40	95	2226
41	95	2187
42	96	2147
43	97	2121
44	98	2087
45	99	2067
46	100	2038
47	101	2008
48	101	1977
49	102	1948
50	103	1920
51	103	1892
52	104	1866
53	105	1842
54	105	1820
55	106	1797
56	107	1775
57	107	1753
58	108	1730
59	109	1711
60	109	1692
61	111	1686
62	112	1668
63	113	1655
64	114	1647
65	115	1632
66	116	1618
67	116	1602
68	117	1586
69	118	1570
70	118	1554
71	119	1540
72	120	1525
73	120	1511
74	121	1497
75	121	1483
76	122	1469
77	123	1456
78	124	1445
79	124	1433
80	125	1421
81	125	1409
82	126	1398
83	127	1387
84	127	1376
85	128	1365
86	129	1354
87	129	1344
88	130	1334
89	130	1324
90	131	1314
91	132	1304
92	132	1295
93	133	1288
94	134	1279
95	134	1270
96	135	1261
97	136	1253
98	136	1245
99	137	1236
100	138	1229
101	138	1223
102	139	1216
103	140	1210
104	141	1202
105	141	1196
106	142	1189
107	143	1187
108	144	1180
109	145	1174
110	145	1166
111	146	1159
112	146	1152
113	147	1146
114	148	1140
115	148	1135
116	149	1129
117	150	1123
118	150	1116
119	151	1109
120	151	1103
121	152	1097
122	153	1093
123	153	1087
124	154	1082
125	155	1076
126	155	1071
127	156	1066
128	157	1061
129	157	1055
130	158	1050
131	159	1046
132	159	1038
133	159	1033
134	160	1029
135	161	1024
136	161	1019
137	163	1021
138	164	1019
139	165	1014
140	165	1010
141	166	1006
142	167	1002
143	167	998
144	168	995
145	169	991
146	170	987
147	172	995
148	173	992
149	174	989
150	175	985
151	175	981
152	176	976
153	177	973
154	177	969
155	178	965
156	179	961
157	179	958
158	180	954
159	181	950
160	181	946
161	182	944
162	183	940
163	183	936
164	184	932
165	184	929
166	185	925
167	186	922
168	186	918
169	187	915
170	188	912
171	188	908
172	189	905
173	190	902
174	190	899
175	191	895
176	192	892
177	194	899
178	195	897
179	196	894
180	197	891
181	197	888
182	198	885
183	198	882
184	199	879
185	200	876
186	202	879
187	203	876
188	203	874
189	204	871
190	205	868
191	205	865
192	206	862
193	206	859
194	207	856
195	208	854
196	208	851
197	209	849
198	210	846
199	211	844
200	212	843
201	213	843
202	213	839
203	214	838
204	215	835
205	216	832
206	216	829
207	217	826
208	217	823
209	218	820
210	218	818
211	219	815
212	220	813
213	220	810
214	222	811
215	222	809
216	223	807
217	224	804
218	225	802
219	225	800
220	226	797
221	227	795
222	227	793
223	228	790
224	228	788
225	231	794
226	232	793
227	233	790
228	234	788
229	234	785
230	235	783
231	236	782
232	237	780
233	237	778
234	238	776
235	239	773
236	239	771
237	240	769
238	240	767
239	241	765
240	242	762
241	242	760
242	243	758
243	244	756
244	244	754
245	245	751
246	245	749
247	246	747
248	247	745
249	247	743
250	248	741
251	249	739
252	250	738
253	250	737
254	251	735
255	252	735
256	253	733
257	254	731
258	254	729
259	255	727
260	256	725
261	256	723
262	257	721
263	258	719
264	259	719
265	260	718
266	261	717
267	261	715
268	262	713
269	263	711
270	263	709
271	264	707
272	264	705
273	265	703
274	266	701
275	266	699
276	267	698
277	268	696
278	268	694
279	269	692
280	269	690
281	270	689
282	271	687
